Key,Description,CN
SAY.FungusFlow.4.Character Name,,
SAY.FungusFlow.7.Character Name,,
SAY.FungusFlow.11.Character Name,,马丁写给我的一封信，他委托他的管家交给了我。我已经反复读了很多遍。
SAY.FungusFlow.26.,,\n\n致安德烈·芬恩\n\n我很遗憾，当你读到这封信的时候，疾病已将我带走。但请不要为此太过悲伤，我的学生。我曾经度过了快乐的一生。唯一令我担忧无比的，是我在鲁米诺的朋友们。他们并不知道我的离去。我恳请你沿着我曾经的走过的道路，找到在迷雾中的鲁米诺，帮助我那些充满疑惑和焦虑的朋友们。\n在格里姆小镇的收获日里，于森林小径上铺撒奶酪，追寻山羊人的踪迹，用钥匙打开尘封的铁门。你也许仍会一头雾水，请在那里找到来自埃隆的丹尼先生，他会向你解释一切。\n\n                               马丁·奥尼尔
SAY.FungusFlow.27.Character Name,,当我拿到这份信的时候，是在马丁的葬礼上。
SAY.FungusFlow.28.Character Name,,他曾是我的老师，不过那都是一年前的事情了。
SAY.FungusFlow.35.Character Name,,我听说他辞去了职务，谁也不知道他之后去了哪里。
SAY.FungusFlow.29.Character Name,,他失踪了一个多月。在他的管家报警之后，警方一无所获。
SAY.FungusFlow.36.Character Name,,是马丁自己又回到了庄园里面。
SAY.FungusFlow.30.Character Name,,管家告诉我马丁回来之后身体虚弱，仅生活了一周便病逝了。
SAY.FungusFlow.31.Character Name,,他的噩耗令我震惊又悲伤，在我的印象中，他是一个健康沉稳的人。
SAY.FungusFlow.32.Character Name,,可当我在灵柩中看见他的时候，他竟然像一个迟暮瘦弱的老人一般了。
SAY.FungusFlow.33.Character Name,,马丁，你究竟经历了什么？真的是疾病带走了你吗？
SAY.FungusFlow.34.Character Name,,如果这份信所言属实，那我应该找到鲁米诺。
SAY.FungusFlow.49.Character Name,,我应该拿上信件动身了，错过火车可就糟糕了。
SAY.FungusFlow.23.Character Name,,我的行李箱。明天清晨我会动身前往格里姆小镇。
SAY.FungusFlow.53.Character Name,,今天天气不错，适合出门。
CHARACTER.Character Name,,Character Name
