Key,Description,Standard
SAY.flowchart.9.安德烈,,你好，我叫安德烈·芬恩。
SAY.flowchart.10.玛丽,,你好啊年轻人，我是玛丽·彼得森。
SAY.flowchart.11.安德烈,,这是为收获日准备的吗？
SAY.flowchart.12.玛丽,,哈，正是！我正在挂彩灯，晚上这里会热闹非凡的。
SAY.flowchart.13.玛丽,,所有游客都能免费品尝格里姆小镇的美食。
SAY.flowchart.14.安德烈,,那可太棒了。不过你听说过山羊人吗？
SAY.flowchart.15.玛丽,,那可是收获日的另一个活动。寻找山羊人！
SAY.flowchart.16.安德烈,,有很多人都在找？
SAY.flowchart.17.玛丽,,成百上千呢。这源于小镇的一个传说。{wc}每年这个时候，小镇周围的森林雾气浓郁。
SAY.flowchart.18.玛丽,,很多人曾说他们在层层迷雾中，看到了直立行走的奇怪生物。
SAY.flowchart.19.玛丽,,它有山羊的角，却用双脚走路。行动迅速，没人抓住过它。
SAY.flowchart.20.玛丽,,也许它是被水果的香味吸引过来的？谁也不清楚。
SAY.flowchart.21.玛丽,,如果你也想抓住它，那祝你好运吧，年轻人。
SAY.flowchart.22.安德烈,,看来我得用正确的方法才行。
SAY.flowchart.44.安德烈,,看来这里正在迎接节日的到来。
SAY.flowchart.50.安德烈,,一串彩旗。看上去很喜庆。
SAY.flowchart.56.安德烈,,摆满了食物的货架和竹筐。
CHARACTER.Character Name,,Character Name
CHARACTER.安德烈,,安德烈
CHARACTER.玛丽,,玛丽
